name,1,2,3,4,5,6,7,8,9,10,11,12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,V,,
sol+C36_COOH+L23_NO2_F,10.90952501,583,13.63683,11.94267,13.63683,0.577685,2334.55,4041.22,1.31779,0.76127,0.320845,3.37751,,786253.9233,5.762071776,,12.86344571,10.45887884,1.597685239,15665.6,1.722341284,
hxg+C36_NH3+L1_CH3_COOH,10.73121121,317,14.80387,7.45785,14.9005,0.502371,2282.63,4543.71,1.48984,0.74845,0.352174,3.5918,,363512.4957,4.595388822,,11.77132968,7.952340778,1.256459643,9369.91,1.495664651,
vby+C36_COOH+L40_Br_COOH,10.26673461,818,12.31678,10.13262,12.49478,0.611902,2250.7,3678.2,1.20083,0.73479,0.272188,2.91792,,1126556.006,6.355101653,,13.2373669,11.91806373,1.782319572,25929.4,1.830343741,
skd+C36_COOH+L38_CH3_F,10.26319829,293,23.21612,22.25795,23.21612,0.376156,1470.72,3909.86,2.17157,0.81685,0.201265,2.19634,,162093.5046,3.333263576,,8.957344059,5.865456855,0.927927057,29898.2,0.778326597,
rob+C36_COOH+L17_CF3_COOH,10.21658655,764,15.88431,10.91858,16.29674,0.46821,1941.63,4146.92,1.60979,0.75372,0.24084,2.71302,,694545.2049,4.883543052,,11.56234941,8.473614567,1.349893141,35613.6,1.261311651,
nfa+C31_COOH+L37_CH3_F,9.680909628,587,12.68358,7.98656,13.01765,0.527912,2383.81,4515.55,1.3775,0.7272,0.272681,2.75147,,738705.3981,5.341715143,,12.71383958,9.336372941,1.461597277,42458.6,1.335491361,
vbu+C36_COOH+L41_CN_COOH,9.659447615,863,17.17593,15.72467,17.48846,0.428385,1833.68,4280.45,1.85735,0.79566,0.237018,2.3126,,677904.6289,4.567480353,,11.2289117,7.873043448,1.257742985,32116,1.145859264,
sxt+C30_COOH+L35_Br_NH3,9.645079731,896,25.13559,11.36925,25.96589,0.366946,1637.24,4461.8,2.31609,0.84988,0.218754,3.59631,,538297.6875,3.953651566,,10.45258676,6.872387904,1.083337615,63672.3,0.797606048,
sxa+C24_NH3+L44_OH_COOH,9.635260009,305,11.2479,6.68001,11.27805,0.495011,2620.18,5293.17,1.46968,0.72751,0.268713,2.27966,,395590.4662,4.57926096,,12.53059209,7.766315176,1.229755748,17951.2,1.312646587,
qtz-e+C36_COOH+L4_SH_F,9.608358602,219,19.89391,14.88606,20.17968,0.361168,1566.47,4337.25,2.30306,0.83179,0.21959,3.14967,,123901.1853,3.07451381,,8.859159893,5.376086843,0.84529352,31808.9,0.667315822,
fsc+C19_NH3+C36_COOH+L1_Cl_NH3+L31_NO2_NH3,9.598218689,100,10.23118,7.18796,10.23118,0.464879,2581.37,5552.78,1.69874,0.78971,0.296193,2.54391,,120002.4704,3.481488563,,11.7668977,5.833228589,0.929758,5211.9,1.166729633,
xby+C32_COOH+C36_COOH+L4_NH2_COOH+L39_OH_COOH,9.437212712,435,20.47074,15.90044,20.71054,0.335001,1370.34,4090.55,2.53375,0.84881,0.218192,2.67531,,199693.3926,3.192441351,,8.668901198,5.70632273,0.88389654,26779.9,0.753684292,
wkh+C36_COOH+L41_CH3_NH3,9.430508752,908,17.77631,14.98151,18.92604,0.329742,1598.64,4848.15,2.49671,0.82327,0.20611,1.9265,,478641.9858,3.594929836,,9.952490874,6.320519474,0.975405144,50081.3,0.783983968,
wmn+C36_COOH+L44_SH_F,9.344970384,434,21.27962,18.84827,21.27962,0.486406,1996.29,4104.16,1.55376,0.75576,0.250684,2.60518,,421417.2262,4.635372298,,11.21986733,8.083450387,1.282890829,38133,1.12961754,
fsg+C17_COOH+C36_COOH+L24_CF3_COOH+L44_Br_F+L32_OH_COOH,9.115396002,78,11.36367,7.74024,11.49809,0.56448,2460.57,4359.01,1.36822,0.77233,0.330203,2.93042,,108337.5192,3.887046613,,12.12519558,6.941012825,1.068049561,5577.66,1.34818912,
smk+C36_COOH+L3_SH_COOH,8.922209812,597,17.8731,15.36099,17.8731,0.383065,1746.49,4559.26,2.16614,0.82977,0.217859,1.7155,,399404.4575,3.890789988,,10.14515778,6.706260912,1.063378607,28270.6,0.934203334,
znz+C13_NH3+C36_COOH+L76_OH_NH3+L26_NH2_NH3,8.899302817,1023,22.77878,20.23374,23.86007,0.251448,1281.72,5097.34,3.48947,0.87742,0.167266,1.46662,,329698.507,2.805818509,,8.751051529,5.370275317,0.756827208,53522.3,0.567510665,
wid+C36_COOH+L30_CF3_F,8.839843441,873,11.66347,7.74755,11.76041,0.696038,2421.07,3478.35,1.03104,0.71764,0.288653,2.49057,,1471141.817,7.249395342,,14.17958073,14.60612886,2.047057672,32535.2,2.06358601,
snw+C36_COOH+L76_SH_F,8.838559728,339,11.85731,10.17858,11.91192,0.585775,2257.51,3853.88,1.25268,0.73379,0.277059,2.48622,,448291.2,5.314759135,,12.18464919,9.748320508,1.482127728,21654,1.511661419,
wgx+C36_COOH+L76_NO2_NH3,8.819902711,1706,26.30766,16.38438,26.30766,0.370607,1639.49,4423.8,2.21226,0.81988,0.216499,2.04344,,1036576.639,4.366912143,,12.0822967,7.587095207,1.197794051,69953.4,0.942989416,
lvt+C25_COOH+L76_CH3_COOH,8.531977983,602,19.86375,19.54207,20.23505,0.389641,2101.67,5393.87,2.0995,0.81805,0.388604,4.71498,,492975.8739,4.041815241,,11.02733968,6.817462454,1.083044756,45489.2,0.867187923,
gwg+C69_COOH+C7_COOH+L37_NH2_F+L35_Br_F,8.518741854,114,12.42536,11.18783,12.42536,0.554155,2358.45,4255.93,1.28202,0.71044,0.242146,2.61965,,148991.942,4.136487971,,11.86352491,7.368332281,1.139844108,13270.5,1.273757427,
smv+C36_COOH+L72_NO2_COOH,8.419204711,2137,53.47293,52.54354,53.47293,0.266762,1080.34,4049.82,3.28911,0.87741,0.0722911,0.251726,,615869.8495,3.204360023,,11.20368762,6.154329419,0.888265314,103805,0.611884446,
xaw+C49_NH3+C36_COOH+L43_Cl_NH3+L38_NH2_F,8.221514074,708,21.22691,18.81455,21.27876,0.37773,1652.96,4376.02,2.12088,0.80112,0.232014,2.26099,,442055.7872,3.919778658,,10.15497365,6.801112017,1.076543062,43499.4,0.900814757,
tsf+C66_COOH+C56_NH3+C17_COOH+C36_COOH+L31_CH3_NH3+L23_NO2_F+L16_CF3_NH3,7.998424854,272,23.11299,15.09121,25.68063,0.196844,1348.52,6850.71,4.531,0.8919,0.148743,3.07473,,72201.87528,1.838200643,,6.277999349,3.830593528,0.479230281,44708.6,0.327333505,
whc+C36_COOH+L76_NO2_F,7.768858259,419,25.13882,22.18233,25.13882,0.37927,1535.06,4047.41,2.17879,0.82635,0.201262,1.68149,,243942.7244,3.587435525,,9.385277576,6.279688994,0.994527112,34803,0.816768327,
