name,Second Number,GLD,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,V
ben+C25_COOH+C36_COOH+L6_F_F+L24_CF3_F,194,36.57914,31.92551,36.86756,0.136003,777.151,5714.2,6.89461,0.93769,0.0692522,0.151856,2.519001804,2.519001804,0.0369297,0.0586418,,0.311147899,53403.2
ben+C58_COOH+C36_COOH+L24_NO2_COOH+L15_CF3_F,181,41.68093,38.95357,42.34609,0.0727834,539.459,7411.84,13.214,0.96176,0.0536792,0.0888272,1.944168614,1.944168614,0.0224864,0.0462643,,0.164321523,131855
ben+C58_NH3+C24_NH3+L34_SH_COOH+L32_Br_F,70,45.04572,38.30808,45.37808,0.0689869,524.979,7609.83,13.9647,0.96338,0.0509349,0.0739918,1.639766738,1.639766738,0.0178414,0.0435218,,0.127287594,109669
ben+C19_NH3+C36_COOH+L3_OH_NH3+L71_Cl_COOH,241,33.74888,28.042,34.19292,0.12742,743.814,5837.51,7.38253,0.94068,0.0757766,0.225554,3.666443286,3.666443286,0.0622343,0.0678961,,0.303516612,50633.8
ben+C62_COOH+C24_NH3+L13_OH_F+L23_NO2_F,161,57.9028,54.26091,58.64109,0.0610083,424.92,6964.95,15.8586,0.96751,0.0528135,0.0822086,1.663733453,1.663733453,0.0180513,0.0433995,,0.134634695,154251
ben+C58_NH3+C13_NH3+L40_Br_COOH+L43_F,58,45.17624,39.96704,45.17624,0.0615859,509.863,8278.9,15.6646,0.96472,0.0507923,0.0751311,1.637681327,1.637681327,0.0176653,0.0431471,,0.1086023,125941
ben+C31_COOH+C13_NH3+L71_Cl_NH3+L15_CN_NH3,255,35.06328,29.49265,35.06328,0.0889438,619.812,6968.58,10.7182,0.95332,0.0661521,0.153585,2.560354511,2.560354511,0.0352733,0.0551069,,0.214046829,84483.7
ben+C37_COOH+C36_COOH+L10_OH_F+L66_Cl_F,147,37.04811,31.47918,37.16829,0.0904756,589.86,6519.54,10.531,0.9528,0.0606125,0.15033,3.007581916,3.007581916,0.0406992,0.0541288,,0.196089336,66677.6
ben+C37_COOH+C36_COOH+L28_COOH+L32_OH_NH3,490,12.13017,9.26271,12.22677,0.637688,2232.77,3501.35,1.20134,0.76608,32.388,14006.9,36.61067128,36.61067128,4.11795,0.449918,,1.715505758,5152.31
ben+C38_COOH+C36_COOH+L3_Br_COOH+L42_CH3_NH3,569,16.88732,13.18615,17.08919,0.411884,1671.05,4057.08,1.95987,0.80724,0.503976,10.6564,15.55328427,15.55328427,1.02717,0.264168,,1.134786661,10144.6
